timestamp,accX,accY,accZ,gyroX,gyroY,gyroZ
14.508362,0.599402,0.728614,-9.525827,0.031918,-0.087506,-0.032834
14.513067,0.599402,0.728614,-9.525827,0.031918,-0.087506,-0.032834
14.517800,0.595813,0.738186,-9.577272,0.036194,-0.095753,-0.037415
14.522595,0.595813,0.738186,-9.577272,0.036194,-0.095753,-0.037415
14.527458,0.591027,0.723829,-9.564112,0.032834,-0.089339,-0.035583
14.532516,0.591027,0.723829,-9.564112,0.032834,-0.089339,-0.035583
14.537337,0.577867,0.735793,-9.530612,0.034514,-0.091172,-0.038332
14.542045,0.577867,0.735793,-9.530612,0.034514,-0.091172,-0.038332
14.546796,0.604188,0.727418,-9.505488,0.036041,-0.089492,-0.037874
14.551506,0.604188,0.727418,-9.505488,0.036041,-0.089492,-0.037874
14.556285,0.598206,0.726222,-9.549755,0.033445,-0.086590,-0.035125
14.560936,0.598206,0.726222,-9.549755,0.033445,-0.086590,-0.035125
14.565680,0.586242,0.717847,-9.538987,0.032987,-0.085521,-0.035277
14.570389,0.586242,0.717847,-9.538987,0.032987,-0.085521,-0.035277
14.575099,0.586242,0.717847,-9.538987,0.035736,-0.089339,-0.036652
14.579955,0.557528,0.701097,-9.541380,0.035736,-0.089339,-0.036652
14.584707,0.557528,0.701097,-9.541380,0.033292,-0.089797,-0.036041
14.589371,0.576670,0.691526,-9.580862,0.033292,-0.089797,-0.036041
14.594096,0.576670,0.691526,-9.580862,0.033292,-0.089797,-0.036041
14.598580,0.599402,0.738186,-9.546166,0.036194,-0.096975,-0.036499
14.603390,0.599402,0.738186,-9.546166,0.036194,-0.096975,-0.036499
14.608172,0.586242,0.745364,-9.534202,0.031460,-0.088117,-0.033139
14.612891,0.586242,0.745364,-9.534202,0.031460,-0.088117,-0.033139
14.617621,0.576670,0.722632,-9.530612,0.032376,-0.090713,-0.033445
14.622375,0.576670,0.722632,-9.530612,0.032376,-0.090713,-0.033445
14.627106,0.549153,0.716650,-9.513863,0.033292,-0.089797,-0.032681
14.632174,0.549153,0.716650,-9.513863,0.033292,-0.089797,-0.032681
14.636828,0.598206,0.707079,-9.533005,0.033750,-0.091477,-0.035277
14.641876,0.598206,0.707079,-9.533005,0.033750,-0.091477,-0.035277
14.646512,0.614955,0.715454,-9.531809,0.032834,-0.089644,-0.033445
14.651059,0.614955,0.715454,-9.531809,0.032834,-0.089644,-0.033445
